"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA23LA213","ACC","106933","2023-03-21T15:23:00Z","Sacramento","California","United States",,"N79011","29859","false","Aviation","DirectorBrief","2023-06-16T04:00:00Z","2023-06-20T19:00:00Z","Serious","0","1","0","An encounter with forecast convective turbulence during climb.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation",,"38.416789999999999","-121.56391000000001","BOEING","777-224","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106933","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106933/pdf"
"DCA23LA175","ACC","106744","2023-02-16T08:30:00Z","New Orleans","Louisiana","United States",,"N505NK","2485","false","Aviation","DirectorBrief","2023-07-19T04:00:00Z","2023-07-19T18:00:00Z","Serious","0","1","2","The flight’s encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"29.993333","-90.258055999999996","AIRBUS","A319-132","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","SPIRIT AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106744","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106744/pdf"
"DCA23WA097","ACC","106473","2022-12-18T05:00:00Z","Chiacam",,"Guatemala",,"N87531","39999","false","Aviation","",,,"Serious","0","1","0",,,,"15.552986000000001","-90.128382999999999","BOEING","737-824","AIR",,,"false","2",,"SCHD",,"121","None",,"UNITED AIRLINES INC","Enroute","N/A",,"Prelim","","None"
"DCA23LA086","ACC","106401","2022-11-30T00:00:00Z","Denver","Colorado","United States",,"N946WN","36918","false","Aviation","DirectorBrief","2023-10-16T04:00:00Z","2023-10-16T18:00:00Z","Serious","0","1","1","The flight’s encounter with mechanical turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on personnel, Personnel issues - Action/decision - Action - Forgotten action/omission - Cabin crew",,"40.308999999999997","-105.361","BOEING","737","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106401","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106401/pdf"
"DCA23LA067","ACC","106329","2022-11-19T21:51:00Z","Red Oak","Iowa","United States",,"N330NW","307","false","Aviation","DirectorBrief","2023-10-16T04:00:00Z","2023-10-16T18:00:00Z","None","0","0","0","Multiple bird strikes during descent.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Availability of related info, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate",,"40.927677000000003","-95.336265999999995","AIRBUS","A320","AIR",,,"false","2","TF","SCHD",,"121","Substantial","VMC","DELTA AIR LINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106329","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106329/pdf"
"DCA23LA050","ACC","106279","2022-11-10T05:00:00Z","Miami","Florida","United States",,"N316SE","44472","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","2023-04-20T19:00:00Z","Serious","0","1","0","An encounter with convective turbulence during descent.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"25.803332999999999","-80.294721999999993","BOEING","737-8","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","American Airlines Inc","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106279","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106279/pdf"
"DCA23LA060","ACC","106309","2022-11-02T21:40:00Z","New Orleans","Louisiana","United States",,"N519NK","2723","false","Aviation","DirectorBrief","2023-06-16T04:00:00Z",,"Serious","0","1","0","The captain’s pitch up input to avoid an overspeed condition, which resulted in a flight attendant falling and fracturing her ankle. Contributing was the airplane’s excessive airspeed during the transition to the automation-managed descent profile.","Personnel issues - Task performance - Use of equip/info - Use of automation - Copilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Incorrect use/operation, Personnel issues - Experience/knowledge - Knowledge - (general) - Cabin crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Copilot, Aircraft - Aircraft oper/perf/capability - (general) - (general) - Incorrect use/operation",,"29.993278","-90.259028000000001","AIRBUS","A319","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","SPIRIT AIRLINES INC","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106309/pdf"
"DCA23LA008","ACC","106083","2022-09-29T10:30:00Z","Denver","Colorado","United States",,"N7881A","35084","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","2023-04-20T19:00:00Z","Serious","0","1","0","An encounter with clear air turbulence during cruise flight.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Contributed to outcome",,"39.861666999999997","-104.67316","BOEING","737","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","Southwest Airlines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106083","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106083/pdf"
"DCA22LA201","ACC","105950","2022-09-11T15:50:00Z","Chicago","Illinois","United States",,"N963WN, N909NN","36676, 31159","false","Aviation","DirectorBrief","2023-07-18T04:00:00Z","2023-07-18T18:00:00Z","None","0","0","0","Southwest Airlines flight crew’s misjudgment of the distance required to safely pass the American Airlines airplane.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot",,"41.9803","-87.909000000000006","BOEING, BOEING","737-7H4, 737-823","AIR, AIR","KORD","Chicago O'Hare International","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","SOUTHWEST AIRLINES CO, American Airlines Inc","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105950","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105950/pdf"
"DCA22LA198","ACC","105895","2022-09-04T20:35:00Z","New York","New York","United States",,"N113DQ","50032","false","Aviation","DirectorBrief","2023-07-18T04:00:00Z",,"Serious","0","1","0","An encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"40.780000000000001","-73.870000000000005","AIRBUS","220","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","Delta Air Lines","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105895/pdf"
"DCA22LA196","ACC","105884","2022-09-01T21:18:00Z","Denver","Colorado","United States",,"N76529","31652","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","2023-04-20T04:00:00Z","Serious","0","1","0","An encounter with clear air turbulence, which resulted in a serious injury as a flight attendant was lowering her jumpseat.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Contributed to outcome",,"39.961385","-104.80580999999999","BOEING","737-824","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105884","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105884/pdf"
"DCA22LA191","ACC","105843","2022-08-29T16:43:00Z","Detroit","Michigan","United States",,"N946AT","55009","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","2023-04-20T19:00:00Z","Serious","0","1","0","An encounter with moderate turbulence during descent.","Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Contributed to outcome",,"42.212499999999999","-83.35333","BOEING","717-200","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","DELTA AIR LINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105843","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105843/pdf"
"DCA22LA188","ACC","105801","2022-08-19T19:17:00Z","Pharisburg","Ohio","United States",,"N73270","31632","false","Aviation","DirectorBrief","2023-07-18T04:00:00Z","2023-07-19T12:00:00Z","Serious","0","1","0","The airplane’s inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Flight crew",,"40.337573999999996","-83.287203000000005","BOEING","737-824","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","United Airlines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105801","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105801/pdf"
"DCA22LA151","ACC","105497","2022-07-01T17:21:00Z","Santa Ana","California","United States",,"N480WN","33998","false","Aviation","DirectorBrief","2022-08-05T04:00:00Z","2022-08-09T22:00:00Z","Serious","0","1","0","A flight attendant received a serious injury for undetermined reasons during a firm landing.","Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Cabin crew, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Unknown/Not determined",,"33.675700999999997","-117.86799000000001","BOEING","737-700","AIR","sna","John Wayne Orange County Airport","false","2","TF","SCHD",,"121","None","VMC","SOUTHWEST AIRLINES CO","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105497","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105497/pdf"
"DCA22LA125","ACC","105167","2022-05-25T01:10:00Z","Springfield","Missouri","United States",,"N483UA","1586","false","Aviation","DirectorBrief","2023-06-16T04:00:00Z",,"Serious","0","1","0","The flight’s encounter with clear air moderate turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Contributed to outcome, Personnel issues - Action/decision - Action - (general) - Cabin crew, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel",,"37.185094999999997","-93.234153000000006","AIRBUS INDUSTRIE","A320-232","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","United Airlines","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105167/pdf"
"DCA22LA134","ACC","105307","2022-05-21T20:00:00Z","Tacoma","Washington","United States",,"N256WN","32514","false","Aviation","DirectorBrief","2022-07-20T04:00:00Z","2022-07-20T07:00:00Z","Serious","0","1","0","During cruise flight with no reported turbulence a passenger sustained a serious injury for an unknown reason.","Personnel issues - Miscellaneous - (general) - (general) - Passenger",,"47.185699999999997","-122.27370000000001","BOEING","737-700","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=105307","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105307/pdf"
"DCA22LA069","ACC","104551","2022-01-22T12:57:00Z","Hayden","Colorado","United States",,"N760JB","3659","false","Aviation","DirectorBrief","2023-12-12T05:00:00Z","2023-12-12T19:00:00Z","None","0","0","0","The captain’s rotation of the airplane pitch before the rotation speed on takeoff due to his surprise about encountering head on landing traffic, which resulted in an exceedance of the airplane’s pitch limit and a subsequent tail strike. 
Contributing to the accident was the flight crew’s expectation bias that the incoming aircraft was landing on the same runway as they were departing from, and the conflicting traffic’s nonstandard use of phraseology when making position calls on the common traffic advisory frequency.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Experience/knowledge - Knowledge - (general) - Flight crew, Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Flight crew, Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Flight crew",,"40.288699999999999","-107.1306","AIRBUS","A320-232","AIR","HDN","Yampa Valley International Airport","false","2","TF","SCHD",,"121","Substantial","VMC","JETBLUE AIRWAYS CORP","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104551","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104551/pdf"
"DCA22LA053","ACC","104463","2021-12-30T23:45:00Z","Newark","New Jersey","United States",,"TC-JOK, N633RW","1642, 17000054","false","Aviation","DirectorBrief","2022-07-20T04:00:00Z","2022-06-16T12:00:00Z","None","0","0","0","Turkish Airlines flightcrew’ s misperception of the distance to safely pass the stopped Republic Airways airplane.","Personnel issues - Psychological - Perception/orientation/illusion - Perception - Flight crew",,"40.689500000000002","-74.174499999999995","AIRBUS, EMBRAER","A330, ERJ 170-100 SE","AIR, AIR","EWR","NEWARK LIBERTY INTL","false, false","2","TF","SCHD, SCHD",,"129, 121","Minor, Substantial","IMC","Turkish Airlines, REPUBLIC AIRWAYS INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104463","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104463/pdf"
"DCA22LA044","ACC","104393","2021-12-13T01:33:00Z","Paradise","Nevada","United States",,"N307FR","7472","false","Aviation","DirectorBrief","2022-07-19T04:00:00Z","2022-07-19T19:00:00Z","None","0","0","0","The captain’s failure to maintain proper pitch attitude during landing, likely caused by improper seat position.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot",,"36.079811999999997","-115.15344","AIRBUS","A320-251N","AIR","KLAS","Harry Reid International","false","2","TJ","SCHD",,"121","Substantial","VMC","Frontier Airlines","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104393","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104393/pdf"
"DCA22LA015","ACC","104161","2021-10-23T09:55:00Z","Miami","Florida","United States",,"N252NN","17000642","false","Aviation","DirectorBrief","2022-07-20T04:00:00Z","2022-07-20T19:00:00Z","Serious","0","1","0","An abrupt jerk of the airplane as the captain applied the parking brake during the tow that caused a flight attendant to fall and break her wrist.","Personnel issues - Task performance - Communication (personnel) - Language/accent - Ground crew, Personnel issues - Task performance - Communication (personnel) - Interpretation/understanding - Pilot, Aircraft - Aircraft systems - Communications system - Interphone - Malfunction",,"25.796900000000001","-80.276200000000003","EMBRAER S A","ERJ 170-200 LR","AIR","MIA","MIAMI INTL","false","2","TF","SCHD",,"121","None","VMC","Envoy Air","Pushback/Tow","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104161","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104161/pdf"
"DCA22LA012","ACC","104153","2021-10-08T20:30:00Z","Lexington","Virginia","United States",,"N8642E","42525","false","Aviation","DirectorBrief","2022-07-19T04:00:00Z",,"Serious","0","1","0","The airplane’s inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition",,"37.799999999999997","-79.099999999999994","BOEING","737-8H4","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104153/pdf"
"DCA22LA005","ACC","104064","2021-10-01T20:18:00Z","Chicago","Illinois","United States",,"N142SY, N730YX","17000475, 17000518","false","Aviation","DirectorBrief","2022-07-20T04:00:00Z","2022-07-20T19:00:00Z","None","0","0","0","A ground collision by SkyWest flight 5845 that resulted in substantial damage to Republic Airlines flight 3594.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew",,"41.978963","-87.907934999999995","EMBRAER S A, EMBRAER S A","ERJ 170-200 LR, ERJ 170-200 LR","AIR, AIR","ORD","CHICAGO O'HARE INTL","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","SKYWEST AIRLINES INC, REPUBLIC AIRWAYS INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104064","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104064/pdf"
"DCA22LA002","ACC","104015","2021-09-27T09:38:00Z","Newark","New Jersey","United States",,"N12125","28967","false","Aviation","DirectorBrief","2022-07-21T04:00:00Z","2022-07-21T19:00:00Z","None","0","0","0","The nose high attitude on landing resulted in a tailstrike.","Personnel issues - Action/decision - Action - Incorrect action selection - Flight crew",,"40.692501","-74.168700999999999","BOEING","757-224","AIR","KEWR","Newark Liberty International Airport","false","2","TF","SCHD",,"121","Substantial","VMC","United Airlines Inc.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104015","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104015/pdf"
"DCA22LA004","ACC","104043","2021-09-23T09:44:00Z","Honolulu","Hawaii","United States",,"N208HA","8123","false","Aviation","DirectorBrief","2022-07-19T04:00:00Z","2022-07-19T19:00:00Z","None","0","0","0","The captain’s improper landing flare, which resulted in an excessive sink rate and subsequent hard landing.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot",,"21.318701000000001","-157.92198999999999","AIRBUS","A321-271N","AIR","PHNL","Daniel K. Inouye International Airport","false","2","TF","SCHD",,"121","Substantial","VMC","HAWAIIAN AIRLINES INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=104043","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104043/pdf"
"DCA21LA226","ACC","103922","2021-09-17T13:40:00Z","Asheville","North Carolina","United States",,"N444ZW","7788","false","Aviation","DirectorBrief","2022-07-19T04:00:00Z","2022-07-19T19:00:00Z","None","0","0","0","The fuel truck driver backing up in the direction of the airplane without the use of marshallers.","Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew",,"35.436199000000002","-82.541802000000004","BOMBARDIER INC","CL-600-2B19","AIR","AVL","ASHEVILLE RGNL","false","2","TF","SCHD",,"121","Substantial","VMC","AIR WISCONSIN AIRLINES LLC","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103922","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103922/pdf"
